time,equ_status,equ_status_1,H2_volume,CO_volume,CO2_volume,CH4_volume,C2H4_volume,C2H2_volume,C2H6_volume,total_hydrocarbons
2015-07-31,1,2,15.7,179.0,611.0,3.56,0.38,0.0,0.5,4.44
2015-07-30,1,2,16.8,166.0,596.0,3.62,0.39,0.0,0.55,4.56
2015-07-13,1,2,16.2,163.0,582.0,3.61,0.39,0.0,0.53,4.53
2015-07-12,1,2,16.2,163.0,582.0,3.61,0.39,0.0,0.53,4.53
2015-07-11,1,2,16.2,163.0,582.0,3.61,0.39,0.0,0.53,4.53
2015-07-10,1,2,17.3,160.0,625.0,3.24,0.43,0.0,0.54,4.21
2015-07-09,1,2,14.7,160.0,571.0,3.35,0.44,0.0,0.5,4.29
2015-07-08,1,2,14.7,173.0,595.0,3.33,0.38,0.0,0.52,4.23
2015-07-07,1,2,14.7,173.0,595.0,3.33,0.38,0.0,0.52,4.23
2015-07-06,1,2,17.5,170.0,609.0,3.38,0.43,0.0,0.0,3.81
2015-07-05,1,2,16.3,180.0,625.0,3.39,0.38,0.0,0.0,3.77
2015-07-04,1,2,16.5,179.0,604.0,3.19,0.38,0.0,0.0,3.57
2015-07-03,1,2,14.5,177.0,626.0,3.21,0.37,0.0,0.0,3.58
2015-07-02,1,2,14.7,176.0,614.0,3.56,0.43,0.0,0.0,3.99
2015-07-01,1,2,15.2,166.0,576.0,3.65,0.39,0.0,0.0,4.04
2015-06-30,1,2,14.5,168.0,591.0,3.31,0.39,0.0,0.0,3.7
2015-06-29,1,2,16.6,160.0,574.0,3.62,0.4,0.0,0.0,4.02
2015-06-28,1,2,15.6,168.0,594.0,3.3,0.39,0.0,0.0,3.69
2015-06-27,1,2,17.0,173.0,578.0,3.56,0.42,0.0,0.0,3.98
2015-06-26,1,2,15.8,164.0,622.0,3.29,0.4,0.0,0.0,3.69
2015-06-25,1,2,17.5,180.0,614.0,3.71,0.44,0.0,0.0,4.15
2015-06-24,1,2,14.5,167.0,614.0,3.75,0.43,0.0,0.0,4.18
2015-06-23,1,2,17.5,179.0,623.0,3.67,0.37,0.0,0.0,4.04
2015-06-22,1,2,16.7,174.0,605.0,3.71,0.44,0.0,0.0,4.15
2015-06-21,1,2,15.3,165.0,576.0,3.76,0.36,0.0,0.0,4.12
2015-06-20,1,2,15.9,161.0,604.0,3.77,0.39,0.0,0.0,4.16
2015-06-19,1,2,15.1,177.0,586.0,3.69,0.42,0.0,0.0,4.11
2015-06-18,1,2,16.0,168.0,575.0,3.39,0.44,0.0,0.0,3.83
2015-06-17,1,2,14.9,167.0,603.0,3.68,0.37,0.0,0.0,4.05
2015-06-16,1,2,17.2,175.0,623.0,3.35,0.36,0.0,0.0,3.71
2015-06-15,1,2,14.5,174.0,599.0,3.61,0.39,0.0,0.0,4.0
2015-06-14,1,2,16.2,166.0,585.0,3.47,0.37,0.0,0.0,3.84
2015-06-13,1,2,14.7,160.0,586.0,3.84,0.43,0.0,0.0,4.27
2015-06-12,1,2,16.9,160.0,577.0,3.33,0.37,0.0,0.0,3.7
2015-06-11,1,2,16.4,175.0,623.0,3.77,0.4,0.0,0.0,4.17
2015-06-10,1,2,17.4,163.0,601.0,3.66,0.39,0.0,0.0,4.05
2015-06-09,1,2,16.3,163.0,613.0,3.46,0.37,0.0,0.0,3.83
2015-06-08,1,2,14.8,172.0,581.0,3.67,0.39,0.0,0.0,4.06
2015-06-07,1,2,16.0,169.0,627.0,3.43,0.38,0.0,0.0,3.81
2015-06-06,1,2,15.2,160.0,628.0,3.23,0.43,0.0,0.0,3.66
2015-05-30,1,2,16.5,170.0,600.0,3.57,0.37,0.0,0.0,3.94
2015-05-29,1,2,14.5,178.0,601.0,3.35,0.41,0.0,0.0,3.76
2015-05-28,1,2,16.6,168.0,603.0,3.82,0.37,0.0,0.0,4.19
2015-05-27,1,2,17.1,173.0,610.0,3.41,0.37,0.0,0.0,3.78
2015-05-26,1,2,14.6,175.0,629.0,3.34,0.41,0.0,0.0,3.75
2015-05-25,1,2,15.0,169.0,624.0,3.45,0.38,0.0,0.0,3.83
2015-05-24,1,2,15.0,168.0,573.0,3.4,0.39,0.0,0.0,3.79
2015-05-23,1,2,15.7,166.0,613.0,3.33,0.38,0.0,0.0,3.71
2015-05-22,1,2,15.7,164.0,576.0,3.78,0.39,0.0,0.0,4.17
2015-05-21,1,2,15.1,166.0,591.0,3.44,0.38,0.0,0.0,3.82
2015-05-20,1,2,17.4,174.0,611.0,3.7,0.41,0.0,0.0,4.11
2015-05-19,1,2,15.6,167.0,609.0,3.79,0.38,0.0,0.0,4.17
2015-05-18,1,2,17.0,171.0,603.0,3.43,0.39,0.0,0.0,3.82
2015-05-17,1,2,16.8,174.0,590.0,3.22,0.37,0.0,0.0,3.59
2015-05-16,1,2,16.5,180.0,589.0,3.41,0.39,0.0,0.0,3.8
2015-05-15,1,2,14.9,161.0,588.0,3.42,0.39,0.0,0.0,3.81
2015-05-14,1,2,15.2,164.0,610.0,3.35,0.41,0.0,0.0,3.76
2015-05-13,1,2,15.7,164.0,576.0,3.78,0.39,0.0,0.0,4.17
2015-05-12,1,2,14.9,167.0,603.0,3.68,0.37,0.0,0.0,4.05
2015-05-11,1,2,16.9,164.0,625.0,3.4,0.36,0.0,0.0,3.76
2015-05-10,1,2,17.1,169.0,621.0,3.34,0.42,0.0,0.0,3.76
2015-05-09,1,2,16.8,174.0,590.0,3.22,0.37,0.0,0.0,3.59
2015-05-08,1,2,15.4,160.0,586.0,3.42,0.39,0.0,0.0,3.81
2015-05-07,1,2,14.9,164.0,607.0,3.77,0.4,0.0,0.0,4.17
2015-05-06,1,2,15.8,162.0,595.0,3.69,0.41,0.0,0.0,4.1
2015-05-05,1,2,16.6,168.0,603.0,3.69,0.41,0.0,0.0,4.1
2015-05-04,1,2,15.4,160.0,586.0,3.42,0.39,0.0,0.0,3.81
2015-05-03,1,2,17.5,175.0,626.0,3.76,0.41,0.0,0.0,4.17
2015-05-02,1,2,15.8,166.0,582.0,3.76,0.41,0.0,0.0,4.17
2015-05-01,1,2,16.5,180.0,589.0,3.41,0.39,0.0,0.0,3.8
2015-04-30,1,2,15.2,167.0,606.0,3.38,0.42,0.0,0.0,3.8
2015-04-29,1,2,16.8,168.0,628.0,3.84,0.38,0.0,0.0,4.22
2015-04-28,1,2,14.7,167.0,579.0,3.66,0.36,0.0,0.0,4.02
2015-04-27,1,2,15.8,166.0,582.0,3.76,0.41,0.0,0.0,4.17
2015-04-26,1,2,16.2,176.0,590.0,3.8,0.38,0.0,0.0,4.18
2015-04-25,1,2,16.6,160.0,620.0,3.26,0.37,0.0,0.0,3.63
2015-04-24,1,2,17.0,173.0,578.0,3.56,0.42,0.0,0.0,3.98
2015-04-23,1,2,15.1,164.0,571.0,3.79,0.41,0.0,0.0,4.2
2015-04-22,1,2,15.8,178.0,621.0,3.52,0.41,0.0,0.0,3.93
2015-04-21,1,2,16.8,170.0,603.0,3.27,0.42,0.0,0.0,3.69
2015-04-20,1,2,17.6,160.0,583.0,3.44,0.38,0.0,0.0,3.82
2015-04-19,1,2,17.1,174.0,601.0,3.58,0.39,0.0,0.0,3.97
2015-04-18,1,2,17.1,173.0,618.0,3.37,0.42,0.0,0.0,3.79
2015-04-17,1,2,15.3,163.0,619.0,3.43,0.38,0.0,0.0,3.81
2015-04-16,1,2,16.0,154.0,627.0,2.94,0.38,0.0,0.0,3.32
2015-04-15,1,2,14.6,158.0,604.0,3.13,0.44,0.0,0.0,3.57
2015-04-14,1,2,16.7,156.0,590.0,3.21,0.42,0.0,0.0,3.63
2015-04-13,1,2,14.8,151.0,586.0,2.98,0.4,0.0,0.0,3.38
2015-04-12,1,2,16.2,148.0,581.0,2.78,0.44,0.0,0.0,3.22
2015-04-11,1,2,16.8,148.0,598.0,3.06,0.37,0.0,0.0,3.43
2015-04-10,1,2,15.3,155.0,608.0,2.85,0.43,0.0,0.0,3.28
2015-04-09,1,2,15.4,163.0,622.0,3.0,0.43,0.0,0.0,3.43
2015-04-08,1,2,17.1,156.0,580.0,3.15,0.37,0.0,0.0,3.52
2015-04-07,1,2,15.7,162.0,582.0,2.98,0.38,0.0,0.0,3.36
2015-04-06,1,2,15.0,152.0,597.0,3.19,0.44,0.0,0.0,3.63
2015-04-05,1,2,16.0,153.0,594.0,2.75,0.43,0.0,0.0,3.18
2015-04-04,1,2,14.5,151.0,572.0,2.75,0.42,0.0,0.0,3.17
2015-04-03,1,2,14.4,162.0,571.0,3.2,0.41,0.0,0.0,3.61
2015-04-02,1,2,16.6,151.0,586.0,2.99,0.39,0.0,0.0,3.38
2015-04-01,1,2,16.6,156.0,600.0,3.19,0.42,0.0,0.0,3.61
2015-03-31,1,2,16.1,160.0,617.0,2.86,0.36,0.0,0.0,3.22
2015-03-30,1,2,16.4,155.0,608.0,2.72,0.42,0.0,0.0,3.14
2015-03-29,1,2,14.6,149.0,599.0,2.75,0.39,0.0,0.0,3.14
2015-03-28,1,2,14.4,150.0,620.0,2.71,0.41,0.0,0.0,3.12
2015-03-27,1,2,14.4,150.0,613.0,2.76,0.38,0.0,0.0,3.14
2015-03-26,1,2,18.2,132.0,605.0,2.41,0.4,0.0,0.0,2.81
2015-03-25,1,2,20.7,142.0,621.0,2.08,0.37,0.0,0.0,2.45
2015-03-24,1,2,17.2,135.0,607.0,1.99,0.42,0.0,0.0,2.41
2015-03-23,1,2,18.7,134.0,594.0,2.18,0.41,0.0,0.0,2.59
2015-03-22,1,2,20.0,140.0,583.0,2.09,0.39,0.0,0.0,2.48
2015-03-21,1,2,18.3,146.0,570.0,2.1,0.41,0.0,0.0,2.51
2015-03-20,1,2,19.4,140.0,619.0,2.2,0.36,0.0,0.0,2.56
2015-03-19,1,2,18.2,138.0,574.0,2.09,0.37,0.0,0.0,2.46
2015-03-18,1,2,19.1,144.0,578.0,2.36,0.38,0.0,0.0,2.74
2015-03-17,1,2,19.1,135.0,575.0,2.17,0.43,0.0,0.0,2.6
2015-03-16,1,2,17.6,148.0,585.0,2.4,0.44,0.0,0.0,2.84
2015-03-15,1,2,17.2,135.0,608.0,2.29,0.4,0.0,0.0,2.69
2015-03-14,1,2,19.7,137.0,581.0,2.31,0.41,0.0,0.0,2.72
2015-03-13,1,2,17.8,146.0,592.0,2.14,0.43,0.0,0.0,2.57
2015-03-12,1,2,18.4,146.0,616.0,2.09,0.4,0.0,0.0,2.49
2015-03-11,1,2,17.2,142.0,579.0,2.2,0.42,0.0,0.0,2.62
2015-03-10,1,2,19.2,136.0,608.0,2.38,0.4,0.0,0.0,2.78
2015-03-09,1,2,19.2,136.0,608.0,2.38,0.4,0.0,0.0,2.78
2015-03-08,1,2,17.6,138.0,608.0,2.42,0.39,0.0,0.0,2.81
2015-03-07,1,2,20.4,135.0,579.0,2.31,0.43,0.0,0.0,2.74
2015-03-06,1,2,19.2,136.0,611.0,2.17,0.37,0.0,0.0,2.54
2015-03-05,1,2,19.6,146.0,628.0,2.28,0.37,0.0,0.0,2.65
2015-03-04,1,2,18.9,141.0,598.0,2.38,0.43,0.0,0.0,2.81
2015-03-03,1,2,19.2,113.0,539.0,1.98,0.38,0.0,0.0,2.36
2015-03-02,1,2,18.6,121.0,509.0,1.82,0.39,0.0,0.0,2.21
2015-03-01,1,2,18.7,121.0,500.0,1.65,0.37,0.0,0.0,2.02
2015-02-28,1,2,18.4,124.0,519.0,1.84,0.38,0.0,0.0,2.22
2015-02-27,1,2,19.8,122.0,502.0,1.76,0.37,0.0,0.0,2.13
2015-02-26,1,2,19.9,116.0,508.0,1.85,0.36,0.0,0.0,2.21
2015-02-25,1,2,19.6,118.0,507.0,1.92,0.39,0.0,0.0,2.31
2015-02-24,1,2,19.5,113.0,510.0,1.94,0.42,0.0,0.0,2.36
2015-02-23,1,2,18.1,112.0,535.0,1.67,0.41,0.0,0.0,2.08
2015-02-22,1,2,20.8,127.0,522.0,1.8,0.44,0.0,0.0,2.24
2015-02-21,1,2,18.1,114.0,511.0,1.97,0.4,0.0,0.0,2.37
2015-02-20,1,2,18.2,120.0,528.0,1.78,0.4,0.0,0.0,2.18
2015-02-19,1,2,19.2,115.0,512.0,1.72,0.4,0.0,0.0,2.12
2015-02-18,1,2,20.0,112.0,510.0,1.94,0.43,0.0,0.0,2.37
2015-02-17,1,2,20.0,121.0,545.0,1.76,0.37,0.0,0.0,2.13
2015-02-16,1,2,18.5,123.0,525.0,1.63,0.44,0.0,0.0,2.07
2015-02-15,1,2,18.1,121.0,512.0,1.82,0.37,0.0,0.0,2.19
2015-02-14,1,2,18.9,126.0,516.0,1.69,0.39,0.0,0.0,2.08
2015-02-13,1,2,19.1,120.0,519.0,1.88,0.37,0.0,0.0,2.25
2015-02-12,1,2,19.8,114.0,507.0,1.69,0.37,0.0,0.0,2.06
2015-02-11,1,2,17.1,116.0,519.0,1.83,0.43,0.0,0.0,2.26
2015-02-10,1,2,20.0,118.0,497.0,1.64,0.36,0.0,0.0,2.0
2015-02-09,1,2,20.3,118.0,510.0,1.66,0.37,0.0,0.0,2.03
2015-02-08,1,2,19.4,124.0,503.0,1.72,0.44,0.0,0.0,2.16
2015-02-07,1,2,18.6,113.0,512.0,1.74,0.42,0.0,0.0,2.16
2015-02-06,1,2,20.6,127.0,496.0,1.94,0.39,0.0,0.0,2.33
2015-02-05,1,2,17.3,122.0,539.0,1.96,0.4,0.0,0.0,2.36
2015-02-04,1,2,20.4,122.0,521.0,1.72,0.44,0.0,0.0,2.16
2015-02-03,1,2,18.7,113.0,500.0,1.67,0.37,0.0,0.0,2.04
2015-02-02,1,2,20.3,125.0,521.0,1.63,0.42,0.0,0.0,2.05
2015-02-01,1,2,18.7,120.0,505.0,1.73,0.37,0.0,0.0,2.1
2015-01-31,1,2,19.8,127.0,544.0,1.83,0.43,0.0,0.0,2.26
2015-01-30,1,2,19.2,121.0,535.0,1.81,0.38,0.0,0.0,2.19
2015-01-29,1,2,19.3,114.0,523.0,1.89,0.43,0.0,0.0,2.32
2015-01-28,1,2,17.9,116.0,527.0,1.78,0.37,0.0,0.0,2.15
2015-01-27,1,2,17.2,120.0,535.0,1.79,0.4,0.0,0.0,2.19
2015-01-26,1,2,19.9,121.0,536.0,1.96,0.4,0.0,0.0,2.36
2015-01-25,1,2,19.4,126.0,510.0,1.97,0.39,0.0,0.0,2.36
2015-01-24,1,2,17.6,121.0,512.0,1.69,0.4,0.0,0.0,2.09
2015-01-23,1,2,18.9,112.0,539.0,1.66,0.37,0.0,0.0,2.03
2015-01-22,1,2,17.5,123.0,537.0,1.73,0.37,0.0,0.0,2.1
2015-01-21,1,2,17.5,125.0,506.0,1.63,0.43,0.0,0.0,2.06
2015-01-20,1,2,20.0,123.0,542.0,1.84,0.38,0.0,0.0,2.22
2015-01-19,1,2,20.7,120.0,515.0,1.74,0.4,0.0,0.0,2.14
2015-01-18,1,2,18.7,123.0,506.0,1.65,0.4,0.0,0.0,2.05
2015-01-17,1,2,19.9,123.0,500.0,1.84,0.37,0.0,0.0,2.21
2015-01-16,1,2,17.2,112.0,544.0,1.75,0.42,0.0,0.0,2.17
2015-01-15,1,2,18.3,115.0,509.0,1.74,0.37,0.0,0.0,2.11
2015-01-14,1,2,18.7,113.0,511.0,1.86,0.39,0.0,0.0,2.25
2015-01-13,1,2,17.8,113.0,520.0,1.94,0.39,0.0,0.0,2.33
2015-01-12,1,2,18.0,124.0,521.0,1.78,0.43,0.0,0.0,2.21
2015-01-11,1,2,18.7,117.0,536.0,1.8,0.36,0.0,0.0,2.16
2015-01-10,1,2,18.6,119.0,539.0,1.73,0.42,0.0,0.0,2.15
2015-01-09,1,2,17.9,123.0,533.0,1.85,0.38,0.0,0.0,2.23
2015-01-08,1,2,18.9,120.0,535.0,1.85,0.37,0.0,0.0,2.22
2015-01-07,1,2,20.8,121.0,499.0,1.83,0.4,0.0,0.0,2.23
2015-01-06,1,2,20.2,118.0,539.0,1.94,0.37,0.0,0.0,2.31
2015-01-05,1,2,18.0,126.0,520.0,1.69,0.43,0.0,0.0,2.12
2015-01-04,1,2,19.6,119.0,531.0,1.83,0.39,0.0,0.0,2.22
2015-01-03,1,2,19.8,118.0,525.0,1.79,0.37,0.0,0.0,2.16
2015-01-02,1,2,20.6,116.0,523.0,1.66,0.39,0.0,0.0,2.05
2015-01-01,1,2,19.2,124.0,516.0,1.68,0.44,0.0,0.0,2.12
2014-12-31,1,2,18.8,113.0,536.0,1.95,0.4,0.0,0.0,2.35
2014-12-30,1,2,18.1,113.0,522.0,1.9,0.38,0.0,0.0,2.28
2014-12-29,1,2,19.6,120.0,501.0,1.79,0.37,0.0,0.0,2.16
2014-12-28,1,2,19.6,127.0,516.0,1.96,0.43,0.0,0.0,2.39
2014-12-27,1,2,17.6,126.0,516.0,1.83,0.41,0.0,0.0,2.24
2014-12-26,1,2,17.2,118.0,531.0,1.74,0.4,0.0,0.0,2.14
2014-12-25,1,2,19.0,119.0,495.0,1.78,0.39,0.0,0.0,2.17
2014-12-24,1,2,20.0,115.0,514.0,1.81,0.43,0.0,0.0,2.24
2014-12-23,1,2,17.5,123.0,532.0,1.83,0.37,0.0,0.0,2.2
2014-12-22,1,2,17.4,117.0,533.0,1.81,0.44,0.0,0.0,2.25
2014-12-21,1,2,19.0,117.0,539.0,1.71,0.37,0.0,0.0,2.08
2014-12-20,1,2,17.9,117.0,529.0,1.98,0.42,0.0,0.0,2.4
2014-12-19,1,2,17.8,119.0,499.0,1.95,0.38,0.0,0.0,2.33
2014-12-18,1,2,20.1,123.0,529.0,1.83,0.37,0.0,0.0,2.2
2014-12-17,1,2,20.8,113.0,502.0,1.88,0.43,0.0,0.0,2.31
2014-12-16,1,2,18.2,113.0,506.0,1.93,0.39,0.0,0.0,2.32
2014-12-15,1,2,17.8,116.0,503.0,1.76,0.39,0.0,0.0,2.15
2014-12-14,1,2,18.4,126.0,519.0,1.64,0.43,0.0,0.0,2.07
2014-12-13,1,2,19.1,115.0,507.0,1.64,0.39,0.0,0.0,2.03
2014-12-12,1,2,20.1,115.0,502.0,1.81,0.43,0.0,0.0,2.24
2014-12-11,1,2,20.7,120.0,533.0,1.89,0.37,0.0,0.0,2.26
2014-12-10,1,2,20.7,119.0,500.0,1.62,0.36,0.0,0.0,1.98
2014-12-09,1,2,18.1,113.0,526.0,1.62,0.43,0.0,0.0,2.05
2014-12-08,1,2,18.1,115.0,534.0,1.69,0.37,0.0,0.0,2.06
2014-11-29,2,1,18.9,126.0,515.0,1.75,0.38,0.0,0.0,2.13
2014-11-28,1,2,18.9,126.0,515.0,1.75,0.38,0.0,0.0,2.13
2014-11-27,1,2,18.9,126.0,515.0,1.75,0.38,0.0,0.0,2.13
2014-11-26,1,2,20.3,119.0,506.0,1.83,0.44,0.0,0.0,2.27
2014-11-25,1,2,17.7,118.0,526.0,1.79,0.39,0.0,0.0,2.18
2014-11-24,1,2,20.1,115.0,505.0,1.89,0.38,0.0,0.0,2.27
2014-11-23,1,2,18.3,117.0,517.0,1.81,0.4,0.0,0.0,2.21
2014-11-22,1,2,17.4,121.0,546.0,1.63,0.42,0.0,0.0,2.05
2014-11-21,1,2,17.2,126.0,526.0,1.87,0.41,0.0,0.0,2.28
2014-11-20,1,2,19.8,118.0,522.0,1.71,0.42,0.0,0.0,2.13
2014-11-19,1,2,20.3,124.0,541.0,1.97,0.39,0.0,0.0,2.36
2014-11-18,1,2,18.0,127.0,497.0,1.92,0.42,0.0,0.0,2.34
2014-11-17,1,2,20.1,124.0,515.0,1.76,0.42,0.0,0.0,2.18
2014-11-07,2,1,19.1,113.0,503.0,1.94,0.38,0.0,0.0,2.32
2014-11-06,1,2,19.1,113.0,503.0,1.94,0.38,0.0,0.0,2.32
2014-11-05,1,2,19.1,113.0,503.0,1.94,0.38,0.0,0.0,2.32
2014-11-04,1,2,17.3,124.0,545.0,1.72,0.39,0.0,0.0,2.11
2014-11-03,1,2,17.6,121.0,529.0,1.66,0.43,0.0,0.0,2.09
2014-11-02,1,2,17.9,120.0,496.0,1.78,0.39,0.0,0.0,2.17
2014-11-01,1,2,19.9,123.0,504.0,1.86,0.38,0.0,0.0,2.24
2014-10-31,1,2,17.8,125.0,511.0,1.92,0.38,0.0,0.0,2.3
2014-10-30,1,2,20.7,117.0,532.0,1.91,0.38,0.0,0.0,2.29
2014-10-29,1,2,20.8,121.0,505.0,1.8,0.37,0.0,0.0,2.17
2014-10-28,1,2,18.3,120.0,503.0,1.76,0.42,0.0,0.0,2.18
2014-10-27,1,2,17.4,118.0,508.0,1.67,0.39,0.0,0.0,2.06
2014-10-26,1,2,17.4,126.0,500.0,1.73,0.4,0.0,0.0,2.13
2014-10-25,1,2,17.2,121.0,515.0,1.69,0.41,0.0,0.0,2.1
2014-10-24,1,2,18.5,124.0,544.0,1.64,0.36,0.0,0.0,2.0
2014-10-23,1,2,20.1,126.0,513.0,1.9,0.43,0.0,0.0,2.33
2014-10-22,1,2,17.2,113.0,534.0,1.76,0.38,0.0,0.0,2.14
2014-10-21,1,2,20.7,119.0,540.0,1.62,0.4,0.0,0.0,2.02
2014-10-20,1,2,19.9,120.0,531.0,1.97,0.38,0.0,0.0,2.35
2014-10-19,1,2,20.8,123.0,505.0,1.71,0.37,0.0,0.0,2.08
2014-10-18,1,2,19.0,115.0,539.0,1.93,0.39,0.0,0.0,2.32
2014-10-17,1,2,18.7,118.0,504.0,1.94,0.38,0.0,0.0,2.32
2014-10-16,1,2,17.5,124.0,518.0,1.63,0.38,0.0,0.0,2.01
2014-10-14,1,2,19.8,124.0,535.0,1.81,0.43,0.0,0.0,2.24
2014-10-13,1,2,19.7,120.0,531.0,1.67,0.4,0.0,0.0,2.07
2014-10-12,1,2,17.7,116.0,524.0,1.69,0.41,0.0,0.0,2.1
2014-10-11,1,2,19.0,114.0,497.0,1.92,0.39,0.0,0.0,2.31
2014-10-10,1,2,17.5,116.0,533.0,1.68,0.39,0.0,0.0,2.07
2014-10-09,1,2,20.8,115.0,512.0,1.89,0.39,0.0,0.0,2.28
2014-10-08,1,2,17.2,125.0,495.0,1.74,0.43,0.0,0.0,2.17
2014-10-07,1,2,19.1,120.0,507.0,1.63,0.4,0.0,0.0,2.03
2014-10-06,1,2,20.8,113.0,514.0,1.81,0.41,0.0,0.0,2.22
2014-10-05,1,2,17.4,121.0,535.0,1.93,0.4,0.0,0.0,2.33
2014-10-04,1,2,17.4,118.0,511.0,1.93,0.4,0.0,0.0,2.33
